,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
280,Vao,88,EE,1547716654,100,59.1,26.19,3.09,5.56
281,Altay,48,CN,1547716655,87,47.83,88.13,-9.94,1.24
282,Barranca,88,PE,1547716655,100,-10.75,-77.76,20.59,3.91
283,Ust-Kuyga,0,RU,1547716655,0,70.0,135.55,-52.77,1.24
284,Pauini,88,BR,1547716656,97,-7.71,-67.0,23.89,0.69
285,Bucerias,75,MX,1547714940,100,20.76,-105.33,22.0,3.84
286,Marrakesh,0,MA,1547713800,75,31.63,-7.99,6.0,1.0
287,Axim,12,GH,1547716657,92,4.87,-2.24,29.61,6.39
288,Anajatuba,44,BR,1547716657,100,-3.26,-44.62,22.86,1.06
289,Locri,5,IT,1547711700,53,38.24,16.26,10.0,1.0
290,Monywa,0,MM,1547716659,65,22.12,95.13,26.46,2.71
291,ChengDe,0,CN,1547716659,28,40.97,117.93,-2.52,1.36
292,Gizo,20,IL,1547715000,51,31.8,34.94,16.0,8.7
293,Carnarvon,0,ZA,1547716659,39,-30.97,22.13,27.49,1.89
294,Kelamangalam,0,IN,1547715600,23,12.61,77.86,28.0,3.6
295,Yerbogachen,76,RU,1547716660,81,61.28,108.01,-18.92,2.94
296,Saint-Georges,0,CA,1547716522,50,46.12,-70.67,-19.77,3.06
297,Havoysund,75,NO,1547715000,73,71.0,24.66,-5.0,8.7
298,Santa Fe,36,AR,1547716661,87,-31.62,-60.7,20.46,4.41
299,Hami,32,CN,1547716662,70,42.84,93.51,-2.12,1.56
300,Ramsar,90,IR,1547715600,93,36.92,50.64,10.0,6.2
301,Roebourne,44,AU,1547716662,27,-20.77,117.15,38.56,3.76
302,Barbate,75,ES,1547715000,81,36.19,-5.92,12.0,3.6
303,Nouadhibou,0,MR,1547716663,79,20.93,-17.03,15.31,8.64
304,Goderich,76,CA,1547716663,86,43.74,-81.71,-8.54,2.56
305,Lichinga,75,MZ,1547715600,65,-13.3,35.25,25.0,2.6
306,San Policarpo,80,PH,1547716664,91,12.18,125.51,25.96,6.16
307,Coihaique,0,CL,1547715600,81,-45.58,-72.07,6.0,1.5
308,Kenora,90,CA,1547715360,70,49.76,-94.48,-18.0,1.26
309,Buncrana,40,GB,1547715000,86,55.14,-7.45,4.0,2.1
310,Gari,64,RU,1547716665,60,59.43,62.35,-3.17,5.16
311,Ayaviri,92,PE,1547716665,94,-14.88,-70.59,2.09,1.36
312,Saint George,0,GR,1547715000,37,39.45,22.34,11.0,2.1
313,El Alto,75,BO,1547715600,93,-16.5,-68.19,6.0,2.1
314,Pisco,0,PE,1547715600,94,-13.71,-76.2,20.0,5.7
315,Lasa,20,CY,1547713800,44,34.92,32.53,15.0,5.1
316,Julfa,75,AZ,1547715600,53,38.95,45.63,10.0,1.0
317,Cockburn Town,68,TC,1547716667,100,21.46,-71.14,25.06,3.29
318,Port Macquarie,0,AU,1547712000,58,-31.43,152.91,28.0,6.7
319,Xining,8,CN,1547716668,18,36.62,101.77,3.56,1.21
320,Gawler,40,AU,1547713800,45,-34.6,138.75,29.0,5.7
321,Eyl,8,SO,1547716668,82,7.98,49.82,26.24,4.54
322,Nynashamn,75,SE,1547715000,86,58.9,17.95,-2.0,5.1
323,Ketchikan,20,US,1547715660,92,55.34,-131.65,6.1,2.1
324,Sucua,20,EC,1547716669,92,-2.46,-78.17,15.94,0.61
325,Wagar,0,US,1547716669,88,31.44,-87.99,2.46,1.06
326,Floriano,0,BR,1547716508,89,-6.77,-43.02,20.31,1.14
327,Neyshabur,0,IR,1547716670,85,36.21,58.79,15.24,3.81
328,Salalah,0,OM,1547715000,47,17.01,54.1,27.0,3.6
329,Cherskiy,76,RU,1547716671,78,68.75,161.3,-31.89,1.36
330,Xingyi,0,CN,1547716671,72,24.19,102.82,13.49,1.89
331,Vyartsilya,80,RU,1547716671,90,62.18,30.69,-9.54,3.36
332,Caxito,0,BR,1547715600,94,-22.65,-42.51,24.0,2.6
333,Voi,20,KE,1547716672,70,-3.4,38.57,27.99,1.69
334,Mayang Imphal,20,IN,1547715600,33,24.62,93.88,23.0,2.1
335,Acapulco,75,MX,1547714700,78,16.86,-99.88,24.0,1.69
336,Manokwari,56,ID,1547716673,100,-0.87,134.08,26.59,3.46
337,Moree,0,AU,1547712000,19,-29.46,149.84,38.0,5.7
338,Dali,0,CN,1547716674,54,25.6,100.24,14.11,0.94
339,La Ronge,5,CA,1547712000,75,55.1,-105.3,-26.0,3.6
340,Christchurch,80,NZ,1547715600,88,-43.53,172.64,17.0,0.5
341,Krasnooktyabrskiy,0,RU,1547715600,64,44.93,38.37,3.0,3.0
342,Saint Anthony,90,US,1547715360,88,43.97,-111.68,0.0,2.26
343,Kargasok,80,RU,1547716675,80,59.06,80.87,-9.02,1.56
344,Tabuk,0,PH,1547716675,61,17.41,121.44,22.31,1.29
345,Kutum,0,SD,1547716676,40,14.2,24.66,18.34,4.16
346,Road Town,1,VG,1547715180,84,18.42,-64.62,23.3,3.1
347,Comodoro Rivadavia,0,AR,1547715600,43,-45.87,-67.48,13.0,2.1
348,Solano,0,PH,1547716677,62,16.52,121.18,22.49,1.29
349,Leningradskiy,76,RU,1547716677,97,69.38,178.42,-20.67,8.21
350,Dubti,0,ET,1547716677,37,11.74,41.09,28.19,1.81
351,Tilichiki,0,RU,1547716678,62,60.47,166.1,-36.97,1.39
352,Melfi,0,IT,1547711700,70,41.0,15.66,8.0,2.1
353,Plauen,90,DE,1547715000,93,50.5,12.13,5.0,7.2
354,Peringat,75,MY,1547712000,78,5.99,102.3,28.0,5.7
355,Half Moon Bay,20,US,1547716500,67,37.46,-122.43,15.0,8.7
356,Senno,90,RU,1547715600,86,57.76,27.95,3.0,7.0
357,Lixourion,40,GR,1547715000,62,38.2,20.43,13.0,2.51
358,Rosarito,88,CO,1547716680,100,4.91,-75.23,15.79,0.76
359,Ribeira Grande,40,PT,1547713800,87,38.52,-28.7,16.0,2.6
360,Conceicao da Barra,48,BR,1547716681,89,-18.59,-39.73,26.94,4.21
361,Atambua,92,ID,1547716681,100,-9.11,124.89,24.19,3.54
362,Paredon,24,BO,1547716681,87,-18.93,-65.16,10.29,1.01
363,Tazovskiy,56,RU,1547716682,68,67.47,78.7,-23.04,4.86
364,Alofi,92,NU,1547715600,88,-19.06,-169.92,27.0,3.6
365,Dingle,48,PH,1547716682,63,11.0,122.67,27.59,6.91
366,Kinango,40,KE,1547712000,59,-4.13,39.32,33.0,3.1
367,Taltal,32,CL,1547716683,100,-25.41,-70.49,11.04,0.34
368,Mendi,0,ET,1547716683,26,9.8,35.1,29.09,2.04
369,Pangai,12,TO,1547716684,99,-19.8,-174.35,27.99,2.69
370,Foggia,0,IT,1547711700,70,41.46,15.54,8.0,2.1
371,Loa Janan,68,ID,1547716684,85,-0.58,117.09,29.11,1.29
372,Dakoro,0,NE,1547716685,30,14.51,6.76,20.04,4.94
373,Ambatofinandrahana,20,MG,1547716685,73,-20.55,46.8,25.19,1.61
374,Vila Franca do Campo,20,PT,1547713800,81,37.72,-25.43,9.0,1.5
375,Kiunga,92,PG,1547716685,93,-6.12,141.3,24.39,0.94
376,Tamuin,92,MX,1547716686,98,21.98,-98.75,16.34,1.14
377,Broken Hill,75,AU,1547712000,10,-31.97,141.45,43.0,3.1
378,Hasaki,20,JP,1547715600,69,35.73,140.83,8.0,1.5
379,Vardo,90,US,1547715600,61,39.62,-77.74,2.0,2.1
380,Polunochnoye,92,RU,1547716688,89,60.87,60.43,-1.69,5.56
381,Katsuura,75,JP,1547715600,56,33.93,134.5,9.0,4.1
382,Teguldet,80,RU,1547716688,74,57.31,88.17,-10.89,2.34
383,Acajutla,0,SV,1547716689,57,13.59,-89.83,25.09,4.76
384,Bantou,20,CN,1547716689,77,26.22,117.49,9.56,0.99
385,Bingol,90,TR,1547715000,79,38.88,40.49,0.0,2.1
386,Cabedelo,20,BR,1547715600,100,-6.97,-34.84,24.0,2.1
387,Lishu,0,CN,1547716690,28,43.31,124.32,-12.69,2.16
388,Kasongo-Lunda,64,CD,1547716690,89,-6.48,16.82,23.04,1.44
389,San Patricio,24,PY,1547716691,75,-26.98,-56.83,27.39,2.46
390,Tulum,20,MX,1547714640,77,20.21,-87.46,21.0,2.1
391,Broome,20,GB,1547715360,80,52.47,1.45,2.0,5.7
392,Ambanja,75,MG,1547715600,70,-13.68,48.45,31.0,2.1
393,Wanning,0,AT,1547715000,95,48.64,13.53,0.0,0.5
394,Lugazi,20,UG,1547713800,73,0.37,32.94,25.0,1.5
395,Bilma,0,NE,1547716693,39,18.69,12.92,15.94,2.29
396,Noyabrsk,80,RU,1547716693,85,63.2,75.45,-10.04,7.36
397,Mayo,90,CA,1547712000,85,63.59,-135.9,-8.0,1.0
398,Neuquen,0,AR,1547715600,62,-38.95,-68.06,13.0,2.6
399,Chingola,88,ZM,1547716694,98,-12.55,27.86,21.44,2.34
400,Roald,90,NO,1547715000,92,62.58,6.12,-1.0,1.0
401,Muros,40,ES,1547713800,100,42.77,-9.06,5.0,1.0
402,Siverek,0,TR,1547715000,74,37.75,39.32,2.0,5.7
403,Novyy Urengoy,80,RU,1547716695,82,66.08,76.63,-15.82,7.31
404,Alta Floresta,80,BR,1547716695,91,-9.87,-56.08,24.21,0.99
405,Nanchang,0,CN,1547716696,84,28.68,115.89,8.56,1.34
406,Araouane,0,ML,1547716697,20,18.9,-3.53,16.74,3.94
407,Souillac,0,FR,1547713800,93,45.6,-0.6,5.0,2.1
408,Gazanjyk,0,TM,1547716697,77,39.24,55.52,14.59,1.74
409,Qostanay,90,KZ,1547713800,92,53.17,63.58,-10.0,3.0
410,Thrissur,20,IN,1547715600,33,10.53,76.21,33.0,2.6
411,Yumen,88,CN,1547716698,85,40.29,97.04,-5.72,6.74
412,Champasak,75,LA,1547715600,40,14.89,105.88,31.0,4.1
413,Marigot,80,HT,1547716698,100,18.23,-72.32,24.29,1.79
414,Scarborough,8,GB,1547715000,64,54.28,-0.41,1.0,6.7
415,Sosnovo-Ozerskoye,12,RU,1547716699,73,52.53,111.54,-18.87,1.24
416,Nakonde,44,ZM,1547716699,66,-9.33,32.75,26.31,2.04
417,Blagoveshchenka,48,RU,1547716700,93,52.83,79.87,-13.67,1.69
418,Amahai,92,ID,1547716700,100,-3.31,129.0,24.61,5.76
419,Milyutinskaya,24,RU,1547716700,94,48.63,41.67,-6.87,2.14
420,Halifax,40,CA,1547713320,68,44.65,-63.58,-3.0,6.7
421,Dikson,44,RU,1547716701,86,73.51,80.55,-16.39,4.74
422,Kholmskaya,0,RU,1547715600,64,44.85,38.39,3.0,3.0
423,Mglin,92,RU,1547716701,92,53.06,32.85,-3.64,9.49
424,Cardston,90,CA,1547714880,92,49.2,-113.32,-7.0,2.6
425,Mount Gambier,40,AU,1547712000,60,-37.83,140.78,24.0,1.5
426,Jishou,0,CN,1547716702,79,28.26,109.7,8.71,1.69
427,Faya,0,SA,1547715600,37,18.39,42.45,25.0,8.7
428,Grand Island,90,US,1547716140,95,40.92,-98.34,-1.1,1.74
429,Karpathos,20,GR,1547715000,54,35.51,27.21,15.0,5.7
430,Homer,40,US,1547715180,70,59.64,-151.54,6.1,4.6
431,Constitucion,32,MX,1547716704,82,23.99,-104.67,5.39,1.16
432,Dreux,75,FR,1547713800,86,48.74,1.37,6.0,6.2
433,Miramar,0,CR,1547715600,60,10.09,-84.73,20.0,8.7
434,Gorham,1,US,1547715360,52,43.68,-70.44,-10.0,2.6
435,Moose Factory,1,CA,1547712000,74,51.26,-80.61,-31.0,4.1
436,Ancud,0,CL,1547715600,87,-41.87,-73.83,6.0,2.1
437,Sao Filipe,88,CV,1547716706,96,14.9,-24.5,22.44,7.24
438,Murray Bridge,92,AU,1547716706,73,-35.12,139.28,23.99,5.31
439,Dakar,0,SN,1547713800,88,14.69,-17.45,20.0,7.2
440,Hirekerur,0,IN,1547716707,49,14.47,75.38,28.74,4.09
441,Beringovskiy,8,RU,1547716707,100,63.05,179.32,-24.32,4.19
442,Winneba,8,GH,1547712000,88,5.35,-0.62,27.0,5.1
443,Dalbandin,8,PK,1547716708,78,28.9,64.41,21.34,1.96
444,Kajaani,90,FI,1547715000,83,64.22,27.73,-20.0,1.0
445,Bahia Blanca,0,AR,1547716709,91,-38.72,-62.27,14.81,4.41
446,Dabat,0,ET,1547716709,20,12.98,37.77,26.54,1.16
447,Egvekinot,88,RU,1547716709,84,66.32,-179.17,-19.62,1.36
448,Mangit,0,UZ,1547715600,93,40.6,70.96,2.0,2.1
449,Hue,75,VN,1547715600,100,16.47,107.58,19.0,4.1
450,Namibe,40,AO,1547712000,69,-15.19,12.15,24.0,2.1
451,Viedma,0,AR,1547716711,67,-40.81,-62.99,12.46,4.16
452,Aykhal,32,RU,1547716711,28,65.95,111.51,-29.32,2.41
453,Astakos,20,GR,1547715000,70,38.54,21.08,13.0,4.1
454,Ardabil,75,IR,1547715600,56,38.25,48.3,7.0,8.7
455,Plover,90,US,1547715300,85,44.46,-89.54,-8.6,2.1
456,Astana,40,KZ,1547715600,100,51.13,71.43,-9.0,3.0
457,Nanakuli,40,US,1547715420,86,21.39,-158.15,25.6,3.6
458,Playas,88,EC,1547716714,100,-2.64,-80.39,23.04,0.46
459,Mahajanga,40,MG,1547715600,70,-15.72,46.32,31.0,4.1
460,Batemans Bay,92,AU,1547716714,92,-35.71,150.18,22.49,2.34
461,Maracacume,0,BR,1547716715,93,-2.04,-45.96,21.74,1.61
462,Timra,75,SE,1547715000,85,62.49,17.33,-7.0,3.1
463,Chadan,64,RU,1547716715,75,51.29,91.58,-13.39,0.69
464,Rincon,1,US,1547716500,93,32.3,-81.24,3.0,1.21
465,Camopi,92,GF,1547716716,99,3.17,-52.33,22.94,1.01
466,Grand-Santi,92,GF,1547716716,98,4.27,-54.38,23.21,1.14
467,Mackay,90,CA,1547712000,92,53.65,-115.58,-15.0,4.1
468,Ayia Paraskevi,0,GR,1547715000,100,40.48,23.05,5.0,2.1
469,Maceio,40,BR,1547715600,94,-9.67,-35.74,24.0,1.0
470,Barabinsk,56,RU,1547716717,85,55.35,78.35,-13.64,3.04
471,Gigmoto,12,PH,1547716718,96,13.78,124.39,26.19,5.41
472,Bowen,64,AU,1547715600,74,-20.01,148.25,26.0,4.6
473,Kabalo,12,CD,1547716718,84,-6.05,26.92,27.21,2.26
474,Gurkovo,0,BG,1547713800,79,42.98,23.69,-2.0,1.5
475,Aswan,0,EG,1547716707,59,24.09,32.9,12.84,4.04
476,Pozo Colorado,0,PY,1547716719,60,-23.49,-58.8,28.84,5.86
477,Vila Velha,20,BR,1547715600,94,-3.71,-38.6,25.0,1.5
478,Imeni Poliny Osipenko,64,RU,1547716720,61,52.42,136.49,-12.29,9.54
479,Khorixas,36,NA,1547716720,30,-20.37,14.96,25.84,2.29
480,Menongue,92,AO,1547716720,76,-14.66,17.68,19.81,1.49
481,Henties Bay,20,NA,1547716721,92,-22.12,14.28,20.74,1.56
482,Latehar,0,IN,1547716721,41,23.74,84.5,22.46,3.26
483,Novobiryusinskiy,88,RU,1547716721,83,56.96,97.71,-11.62,2.46
484,Manuk Mangkaw,92,PH,1547716722,100,4.8,119.85,26.99,2.94
485,Tara,75,JP,1547715600,95,33.0,130.15,7.0,4.1
486,Esna,0,RO,1547716722,100,45.2,27.57,-0.54,3.04
487,Outlook,76,CA,1547716723,71,51.48,-107.04,-19.39,3.51
488,Porto Novo,40,BR,1547715600,100,-23.68,-45.44,21.0,1.16
489,Watrous,76,CA,1547716456,84,51.67,-105.46,-21.37,3.04
490,Hibbing,1,US,1547715360,80,47.43,-92.94,-20.0,1.26
491,Bathurst,8,AU,1547716724,63,-33.42,149.58,27.69,1.59
492,Blagoyevo,88,RU,1547716724,74,63.37,47.92,-7.79,2.86
493,Keti Bandar,0,PK,1547716725,86,24.14,67.45,24.29,4.61
494,Sisimiut,48,GL,1547716725,100,66.94,-53.67,-20.47,1.14
495,Tadine,64,NC,1547716725,97,-21.55,167.88,25.19,7.76
496,Bom Jardim,75,BR,1547712000,88,-7.8,-35.59,23.0,2.6
497,Harper,90,US,1547715300,93,30.3,-99.24,11.6,2.6
498,Qitaihe,0,CN,1547716726,39,45.77,131.01,-20.39,5.34
499,Zhangjiakou,0,CN,1547716727,28,40.77,114.88,-6.72,1.21
500,Boralday,75,KZ,1547715600,100,43.36,76.86,1.0,0.71
501,Pemberton,0,AU,1547716727,49,-34.44,116.03,22.21,6.41
502,Dunedin,92,NZ,1547716407,100,-45.87,170.5,12.89,1.91
503,Port Hedland,20,AU,1547713800,59,-20.31,118.58,33.0,8.2
504,Lima,75,PE,1547712000,88,-12.06,-77.04,21.0,2.6
505,Gat,0,SN,1547715600,82,14.69,-16.54,20.0,6.7
506,San Jose,8,PH,1547716729,61,15.79,120.99,26.44,1.21
507,Bachaquero,48,VE,1547716729,100,9.96,-71.12,25.34,2.39
508,Danielskuil,0,ZA,1547716730,17,-28.19,23.54,32.79,1.36
509,Magadan,24,RU,1547716730,100,59.56,150.8,-19.67,9.04
510,Baruun-Urt,0,MN,1547716730,46,46.68,113.28,-10.17,3.61
511,Batagay,0,RU,1547716731,0,67.65,134.64,-57.19,1.26
512,Makakilo City,90,US,1547715420,64,21.35,-158.09,25.6,6.7
513,Vangaindrano,44,MG,1547716731,79,-23.35,47.6,30.31,2.86
514,Kahului,75,US,1547715360,58,20.89,-156.47,24.4,6.2
515,Aksarka,80,RU,1547716732,85,66.56,67.8,-10.87,6.34
516,Vikindu,40,TZ,1547712000,70,-6.98,39.3,32.0,6.7
517,Whitehorse,90,CA,1547712000,79,60.72,-135.06,-6.0,9.3
518,Vila,90,IT,1547715000,93,45.18,8.4,6.0,1.0
519,Strezhevoy,40,RU,1547715600,85,60.73,77.6,-9.0,5.0
520,The Valley,40,AI,1547712000,88,18.22,-63.06,23.0,4.1
521,Zyryanka,12,RU,1547716734,0,65.73,150.89,-43.94,1.11
522,Aasiaat,68,GL,1547716734,100,68.71,-52.87,-11.89,4.89
523,Kirakira,64,SB,1547716734,100,-10.46,161.92,28.69,2.61
524,Huadian,0,CN,1547716735,44,42.97,126.75,-18.29,1.16
525,Durazno,0,UY,1547716735,85,-33.38,-56.52,16.71,4.21
526,Kampong Chhnang,88,KH,1547716514,51,12.25,104.67,30.49,2.86
527,Kiama,40,AU,1547712000,62,-34.67,150.86,29.0,5.7
528,Chapais,20,CA,1547712000,73,49.78,-74.86,-35.0,3.1
529,Caconde,76,BR,1547716736,88,-21.53,-46.64,20.46,1.46
530,Lata,12,IN,1547716736,74,30.78,78.62,8.71,0.81
531,Port Moresby,75,PG,1547712000,70,-9.47,147.16,30.0,5.1
532,Koszalin,92,PL,1547716737,98,54.19,16.18,3.39,7.51
533,Flinders,40,AU,1547712000,62,-34.58,150.85,29.0,5.7
534,Tiarei,40,PF,1547715600,78,-17.53,-149.33,27.0,1.0
535,Luau,92,CD,1547716738,98,-10.7,22.23,20.11,1.61
536,Evensk,0,RU,1547716738,100,61.92,159.24,-22.04,8.36
537,San Carlos de Bariloche,0,AR,1547715600,80,-41.13,-71.31,1.0,2.1
538,Ucluelet,92,CA,1547716739,89,48.94,-125.55,5.06,1.96
539,Vidim,40,CZ,1547713800,84,50.47,14.53,5.0,9.3
540,Okha,80,RU,1547716740,90,53.59,142.95,-13.64,1.74
541,Dekernes,40,EG,1547712000,76,31.09,31.59,10.0,4.6
542,Damaturu,0,NG,1547716740,23,11.75,11.96,23.36,3.96
543,Chimore,20,BO,1547716740,99,-16.98,-65.13,21.19,0.94
544,Nelson,88,CA,1547716741,93,49.49,-117.29,-7.29,0.89
545,Luanda,75,AO,1547712000,62,-8.83,13.24,30.0,2.1
546,Aksu,40,KZ,1547715600,92,52.04,76.93,-15.0,2.0
547,Matelandia,0,BR,1547715600,94,-25.24,-54.0,24.0,2.1
548,Komsomolskiy,92,RU,1547716742,89,67.55,63.78,-10.92,6.79
549,Karratha,44,AU,1547716742,27,-20.74,116.85,38.56,3.76
550,Podgorenskiy,8,RU,1547716685,92,50.4,39.64,-6.77,3.24
551,Gewane,0,ET,1547716743,35,10.16,40.66,29.09,1.89
552,Puerto Ayacucho,56,CO,1547716743,87,5.66,-67.63,23.71,2.36
553,Korcula,20,HR,1547715600,100,42.96,17.14,5.0,1.0
554,Anuradhapura,0,LK,1547716744,54,8.34,80.41,30.54,6.16
555,Tezpur,0,IN,1547716744,65,26.62,92.79,22.71,1.74
556,Victor Harbor,40,AU,1547713800,45,-35.55,138.62,29.0,5.7
557,Bereda,40,ES,1547713800,100,43.27,-7.54,5.0,2.1
558,Avera,1,US,1547716500,97,33.19,-82.53,1.0,1.11
559,Ushtobe,0,KZ,1547716745,88,45.25,77.98,2.59,2.29
560,Egersund,20,NO,1547715000,74,58.45,6.0,1.0,7.7
561,General Roca,0,AR,1547715600,62,-39.03,-67.58,13.0,2.6
